poll,start,end,name,points
Politico/Morning ConsultPolitico,2019-02-25,2019-03-03,booker,4
Harvard-HarrisHarris,2019-02-19,2019-02-20,booker,2
Harvard-HarrisHarris,2019-02-19,2019-02-20,booker,5
RCP Average,2019-06-06,2019-06-18,yang,1.1
Economist/YouGovEconomist,2019-06-16,2019-06-18,yang,1
MonmouthMonmouth,2019-06-12,2019-06-17,yang,2
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,yang,0
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,yang,1
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,yang,1
FOX NewsFOX News,2019-06-09,2019-06-12,yang,2
Economist/YouGovEconomist,2019-06-09,2019-06-11,yang,1
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,yang,1
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,yang,1
Economist/YouGovEconomist,2019-06-02,2019-06-04,yang,1
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,yang,0
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,yang,1
CNNCNN,2019-05-28,2019-05-31,yang,1
Harvard-HarrisHarris,2019-05-29,2019-05-30,yang,1
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,yang,1
MonmouthMonmouth,2019-05-16,2019-05-20,yang,1
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,yang,1
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,yang,1
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,yang,1
FOX NewsFOX News,2019-05-11,2019-05-14,yang,1
EmersonEmerson,2019-05-10,2019-05-13,yang,1
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,yang,1
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,yang,1
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,yang,1
Harvard-HarrisHarris,2019-04-30,2019-05-01,yang,0
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,yang,1
CNNCNN,2019-04-25,2019-04-28,yang,1
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,yang,2
MonmouthMonmouth,2019-04-11,2019-04-15,yang,0
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,yang,2
EmersonEmerson,2019-04-11,2019-04-14,yang,3
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,yang,1
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,yang,1
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,yang,1
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,yang,--
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,yang,0
Harvard-HarrisHarris,2019-03-25,2019-03-26,yang,1
Harvard-HarrisHarris,2019-03-25,2019-03-26,yang,2
Politico/Morning ConsultPolitico,2019-03-18,2019-03-24,yang,--
FOX NewsFOX News,2019-03-17,2019-03-20,yang,1
EmersonEmerson,2019-03-17,2019-03-18,yang,1
CNNCNN,2019-03-14,2019-03-17,yang,--
Politico/Morning ConsultPolitico,2019-03-11,2019-03-17,yang,--
Politico/Morning ConsultPolitico,2019-03-04,2019-03-10,yang,--
MonmouthMonmouth,2019-03-01,2019-03-04,yang,1
Politico/Morning ConsultPolitico,2019-02-25,2019-03-03,yang,--
Harvard-HarrisHarris,2019-02-19,2019-02-20,yang,--
Harvard-HarrisHarris,2019-02-19,2019-02-20,yang,--
RCP Average,2019-06-06,2019-06-18,klobuchar,1.0
Economist/YouGovEconomist,2019-06-16,2019-06-18,klobuchar,1
MonmouthMonmouth,2019-06-12,2019-06-17,klobuchar,1
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,klobuchar,1
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,klobuchar,1
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,klobuchar,0
FOX NewsFOX News,2019-06-09,2019-06-12,klobuchar,2
Economist/YouGovEconomist,2019-06-09,2019-06-11,klobuchar,0
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,klobuchar,1
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,klobuchar,2
Economist/YouGovEconomist,2019-06-02,2019-06-04,klobuchar,1
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,klobuchar,1
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,klobuchar,1
CNNCNN,2019-05-28,2019-05-31,klobuchar,2
Harvard-HarrisHarris,2019-05-29,2019-05-30,klobuchar,0
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,klobuchar,1
MonmouthMonmouth,2019-05-16,2019-05-20,klobuchar,3
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,klobuchar,1
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,klobuchar,2
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,klobuchar,1
FOX NewsFOX News,2019-05-11,2019-05-14,klobuchar,2
EmersonEmerson,2019-05-10,2019-05-13,klobuchar,1
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,klobuchar,2
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,klobuchar,0
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,klobuchar,2
Harvard-HarrisHarris,2019-04-30,2019-05-01,klobuchar,2
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,klobuchar,1
CNNCNN,2019-04-25,2019-04-28,klobuchar,2
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,klobuchar,2
MonmouthMonmouth,2019-04-11,2019-04-15,klobuchar,1
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,klobuchar,2
EmersonEmerson,2019-04-11,2019-04-14,klobuchar,1
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,klobuchar,2
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,klobuchar,2
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,klobuchar,2
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,klobuchar,2
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,klobuchar,2
Harvard-HarrisHarris,2019-03-25,2019-03-26,klobuchar,2
Harvard-HarrisHarris,2019-03-25,2019-03-26,klobuchar,1
Politico/Morning ConsultPolitico,2019-03-18,2019-03-24,klobuchar,2
FOX NewsFOX News,2019-03-17,2019-03-20,klobuchar,1
EmersonEmerson,2019-03-17,2019-03-18,klobuchar,1
CNNCNN,2019-03-14,2019-03-17,klobuchar,3
Politico/Morning ConsultPolitico,2019-03-11,2019-03-17,klobuchar,2
Politico/Morning ConsultPolitico,2019-03-04,2019-03-10,klobuchar,3
MonmouthMonmouth,2019-03-01,2019-03-04,klobuchar,3
Politico/Morning ConsultPolitico,2019-02-25,2019-03-03,klobuchar,3
Harvard-HarrisHarris,2019-02-19,2019-02-20,klobuchar,--
Harvard-HarrisHarris,2019-02-19,2019-02-20,klobuchar,--
RCP Average,2019-06-06,2019-06-18,castro,0.9
Economist/YouGovEconomist,2019-06-16,2019-06-18,castro,1
MonmouthMonmouth,2019-06-12,2019-06-17,castro,0
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,castro,2
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,castro,1
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,castro,1
FOX NewsFOX News,2019-06-09,2019-06-12,castro,1
Economist/YouGovEconomist,2019-06-09,2019-06-11,castro,1
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,castro,0
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,castro,1
Economist/YouGovEconomist,2019-06-02,2019-06-04,castro,0
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,castro,0
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,castro,1
CNNCNN,2019-05-28,2019-05-31,castro,2
Harvard-HarrisHarris,2019-05-29,2019-05-30,castro,1
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,castro,1
MonmouthMonmouth,2019-05-16,2019-05-20,castro,1
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,castro,1
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,castro,1
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,castro,1
FOX NewsFOX News,2019-05-11,2019-05-14,castro,2
EmersonEmerson,2019-05-10,2019-05-13,castro,2
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,castro,1
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,castro,1
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,castro,1
Harvard-HarrisHarris,2019-04-30,2019-05-01,castro,0
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,castro,1
CNNCNN,2019-04-25,2019-04-28,castro,1
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,castro,1
MonmouthMonmouth,2019-04-11,2019-04-15,castro,0
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,castro,1
EmersonEmerson,2019-04-11,2019-04-14,castro,3
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,castro,1
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,castro,1
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,castro,1
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,castro,1
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,castro,1
Harvard-HarrisHarris,2019-03-25,2019-03-26,castro,1
Harvard-HarrisHarris,2019-03-25,2019-03-26,castro,1
Politico/Morning ConsultPolitico,2019-03-18,2019-03-24,castro,1
FOX NewsFOX News,2019-03-17,2019-03-20,castro,1
EmersonEmerson,2019-03-17,2019-03-18,castro,1
CNNCNN,2019-03-14,2019-03-17,castro,1
Politico/Morning ConsultPolitico,2019-03-11,2019-03-17,castro,1
Politico/Morning ConsultPolitico,2019-03-04,2019-03-10,castro,1
MonmouthMonmouth,2019-03-01,2019-03-04,castro,1
Politico/Morning ConsultPolitico,2019-02-25,2019-03-03,castro,1
Harvard-HarrisHarris,2019-02-19,2019-02-20,castro,2
Harvard-HarrisHarris,2019-02-19,2019-02-20,castro,0
RCP Average,2019-06-06,2019-06-18,ryan,0.7
Economist/YouGovEconomist,2019-06-16,2019-06-18,ryan,0
MonmouthMonmouth,2019-06-12,2019-06-17,ryan,0
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,ryan,1
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,ryan,1
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,ryan,1
FOX NewsFOX News,2019-06-09,2019-06-12,ryan,1
Economist/YouGovEconomist,2019-06-09,2019-06-11,ryan,0
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,ryan,1
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,ryan,1
Economist/YouGovEconomist,2019-06-02,2019-06-04,ryan,0
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,ryan,0
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,ryan,1
CNNCNN,2019-05-28,2019-05-31,ryan,1
Harvard-HarrisHarris,2019-05-29,2019-05-30,ryan,1
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,ryan,1
MonmouthMonmouth,2019-05-16,2019-05-20,ryan,0
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,ryan,1
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,ryan,0
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,ryan,1
FOX NewsFOX News,2019-05-11,2019-05-14,ryan,1
EmersonEmerson,2019-05-10,2019-05-13,ryan,0
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,ryan,1
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,ryan,1
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,ryan,1
Harvard-HarrisHarris,2019-04-30,2019-05-01,ryan,1
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,ryan,0
CNNCNN,2019-04-25,2019-04-28,ryan,0
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,ryan,1
MonmouthMonmouth,2019-04-11,2019-04-15,ryan,0
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,ryan,1
EmersonEmerson,2019-04-11,2019-04-14,ryan,1
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,ryan,1
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,ryan,1
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,ryan,--
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,ryan,--
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,ryan,--
Harvard-HarrisHarris,2019-03-25,2019-03-26,ryan,--
Harvard-HarrisHarris,2019-03-25,2019-03-26,ryan,--
Politico/Morning ConsultPolitico,2019-03-18,2019-03-24,ryan,--
FOX NewsFOX News,2019-03-17,2019-03-20,ryan,--
EmersonEmerson,2019-03-17,2019-03-18,ryan,--
CNNCNN,2019-03-14,2019-03-17,ryan,--
Politico/Morning ConsultPolitico,2019-03-11,2019-03-17,ryan,--
Politico/Morning ConsultPolitico,2019-03-04,2019-03-10,ryan,--
MonmouthMonmouth,2019-03-01,2019-03-04,ryan,--
Politico/Morning ConsultPolitico,2019-02-25,2019-03-03,ryan,--
Harvard-HarrisHarris,2019-02-19,2019-02-20,ryan,--
Harvard-HarrisHarris,2019-02-19,2019-02-20,ryan,--
RCP Average,2019-06-06,2019-06-18,gabbard,0.6
Economist/YouGovEconomist,2019-06-16,2019-06-18,gabbard,1
MonmouthMonmouth,2019-06-12,2019-06-17,gabbard,1
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,gabbard,0
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,gabbard,1
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,gabbard,0
FOX NewsFOX News,2019-06-09,2019-06-12,gabbard,1
Economist/YouGovEconomist,2019-06-09,2019-06-11,gabbard,0
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,gabbard,0
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,gabbard,1
Economist/YouGovEconomist,2019-06-02,2019-06-04,gabbard,1
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,gabbard,0
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,gabbard,1
CNNCNN,2019-05-28,2019-05-31,gabbard,1
Harvard-HarrisHarris,2019-05-29,2019-05-30,gabbard,0
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,gabbard,1
MonmouthMonmouth,2019-05-16,2019-05-20,gabbard,1
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,gabbard,0
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,gabbard,1
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,gabbard,1
FOX NewsFOX News,2019-05-11,2019-05-14,gabbard,1
EmersonEmerson,2019-05-10,2019-05-13,gabbard,1
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,gabbard,1
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,gabbard,1
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,gabbard,1
Harvard-HarrisHarris,2019-04-30,2019-05-01,gabbard,0
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,gabbard,0
CNNCNN,2019-04-25,2019-04-28,gabbard,2
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,gabbard,1
MonmouthMonmouth,2019-04-11,2019-04-15,gabbard,0
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,gabbard,1
EmersonEmerson,2019-04-11,2019-04-14,gabbard,1
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,gabbard,1
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,gabbard,1
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,gabbard,0
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,gabbard,1
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,gabbard,0
Harvard-HarrisHarris,2019-03-25,2019-03-26,gabbard,2
Harvard-HarrisHarris,2019-03-25,2019-03-26,gabbard,0
Politico/Morning ConsultPolitico,2019-03-18,2019-03-24,gabbard,1
FOX NewsFOX News,2019-03-17,2019-03-20,gabbard,0
EmersonEmerson,2019-03-17,2019-03-18,gabbard,1
CNNCNN,2019-03-14,2019-03-17,gabbard,0
Politico/Morning ConsultPolitico,2019-03-11,2019-03-17,gabbard,1
Politico/Morning ConsultPolitico,2019-03-04,2019-03-10,gabbard,1
MonmouthMonmouth,2019-03-01,2019-03-04,gabbard,0
Politico/Morning ConsultPolitico,2019-02-25,2019-03-03,gabbard,1
Harvard-HarrisHarris,2019-02-19,2019-02-20,gabbard,1
Harvard-HarrisHarris,2019-02-19,2019-02-20,gabbard,0
RCP Average,2019-06-06,2019-06-18,delaney,0.6
Economist/YouGovEconomist,2019-06-16,2019-06-18,delaney,1
MonmouthMonmouth,2019-06-12,2019-06-17,delaney,0
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,delaney,1
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,delaney,1
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,delaney,0
FOX NewsFOX News,2019-06-09,2019-06-12,delaney,1
Economist/YouGovEconomist,2019-06-09,2019-06-11,delaney,0
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,delaney,0
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,delaney,1
Economist/YouGovEconomist,2019-06-02,2019-06-04,delaney,1
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,delaney,0
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,delaney,1
CNNCNN,2019-05-28,2019-05-31,delaney,0
Harvard-HarrisHarris,2019-05-29,2019-05-30,delaney,1
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,delaney,1
MonmouthMonmouth,2019-05-16,2019-05-20,delaney,0
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,delaney,0
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,delaney,0
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,delaney,1
FOX NewsFOX News,2019-05-11,2019-05-14,delaney,1
EmersonEmerson,2019-05-10,2019-05-13,delaney,0
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,delaney,0
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,delaney,1
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,delaney,1
Harvard-HarrisHarris,2019-04-30,2019-05-01,delaney,1
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,delaney,0
CNNCNN,2019-04-25,2019-04-28,delaney,0
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,delaney,1
MonmouthMonmouth,2019-04-11,2019-04-15,delaney,0
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,delaney,0
EmersonEmerson,2019-04-11,2019-04-14,delaney,1
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,delaney,1
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,delaney,1
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,delaney,0
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,delaney,1
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,delaney,--
Harvard-HarrisHarris,2019-03-25,2019-03-26,delaney,--
Harvard-HarrisHarris,2019-03-25,2019-03-26,delaney,--
Politico/Morning ConsultPolitico,2019-03-18,2019-03-24,delaney,1
FOX NewsFOX News,2019-03-17,2019-03-20,delaney,1
EmersonEmerson,2019-03-17,2019-03-18,delaney,--
CNNCNN,2019-03-14,2019-03-17,delaney,0
Politico/Morning ConsultPolitico,2019-03-11,2019-03-17,delaney,1
Politico/Morning ConsultPolitico,2019-03-04,2019-03-10,delaney,1
MonmouthMonmouth,2019-03-01,2019-03-04,delaney,0
Politico/Morning ConsultPolitico,2019-02-25,2019-03-03,delaney,0
Harvard-HarrisHarris,2019-02-19,2019-02-20,delaney,--
Harvard-HarrisHarris,2019-02-19,2019-02-20,delaney,--
RCP Average,2019-06-06,2019-06-18,bennet,0.4
Economist/YouGovEconomist,2019-06-16,2019-06-18,bennet,1
MonmouthMonmouth,2019-06-12,2019-06-17,bennet,0
The Hill/HarrisXThe Hill,2019-06-14,2019-06-15,bennet,1
Politico/Morning ConsultPolitico,2019-06-10,2019-06-16,bennet,1
USA Today/SuffolkUSA Today,2019-06-11,2019-06-15,bennet,0
FOX NewsFOX News,2019-06-09,2019-06-12,bennet,0
Economist/YouGovEconomist,2019-06-09,2019-06-11,bennet,1
QuinnipiacQuinnipiac,2019-06-06,2019-06-10,bennet,0
Politico/Morning ConsultPolitico,2019-06-03,2019-06-09,bennet,1
Economist/YouGovEconomist,2019-06-02,2019-06-04,bennet,0
The Hill/HarrisXThe Hill,2019-06-01,2019-06-02,bennet,1
Politico/Morning ConsultPolitico,2019-05-27,2019-06-02,bennet,1
CNNCNN,2019-05-28,2019-05-31,bennet,1
Harvard-HarrisHarris,2019-05-29,2019-05-30,bennet,--
Politico/Morning ConsultPolitico,2019-05-20,2019-05-26,bennet,1
MonmouthMonmouth,2019-05-16,2019-05-20,bennet,0
The Hill/HarrisXThe Hill,2019-05-17,2019-05-18,bennet,0
QuinnipiacQuinnipiac,2019-05-16,2019-05-20,bennet,0
Politico/Morning ConsultPolitico,2019-05-13,2019-05-20,bennet,1
FOX NewsFOX News,2019-05-11,2019-05-14,bennet,0
EmersonEmerson,2019-05-10,2019-05-13,bennet,1
Politico/Morning ConsultPolitico,2019-05-06,2019-05-12,bennet,1
The Hill/HarrisXThe Hill,2019-05-03,2019-05-04,bennet,1
Politico/Morning ConsultPolitico,2019-04-29,2019-05-05,bennet,--
Harvard-HarrisHarris,2019-04-30,2019-05-01,bennet,--
QuinnipiacQuinnipiac,2019-04-26,2019-04-29,bennet,--
CNNCNN,2019-04-25,2019-04-28,bennet,0
Politico/Morning ConsultPolitico,2019-04-22,2019-04-28,bennet,--
MonmouthMonmouth,2019-04-11,2019-04-15,bennet,0
Politico/Morning ConsultPolitico,2019-04-15,2019-04-21,bennet,--
EmersonEmerson,2019-04-11,2019-04-14,bennet,--
Politico/Morning ConsultPolitico,2019-04-08,2019-04-14,bennet,--
Politico/Morning ConsultPolitico,2019-04-01,2019-04-07,bennet,--
The Hill/HarrisXThe Hill,2019-04-05,2019-04-06,bennet,--
Politico/Morning ConsultPolitico,2019-03-25,2019-03-31,bennet,--
QuinnipiacQuinnipiac,2019-03-21,2019-03-25,bennet,--
Harvard-HarrisHarris,2019-03-25,2019-03-26,bennet,--
Harvard-HarrisHarris,2019-03-25,2019-03-26,bennet,--
Politico/Morning ConsultPolitico,2019-03-18,2019-03-24,bennet,--
FOX NewsFOX News,2019-03-17,2019-03-20,bennet,0
EmersonEmerson,2019-03-17,2019-03-18,bennet,--
CNNCNN,2019-03-14,2019-03-17,bennet,--
Politico/Morning ConsultPolitico,2019-03-11,2019-03-17,bennet,--
Politico/Morning ConsultPolitico,2019-03-04,2019-03-10,bennet,--
MonmouthMonmouth,2019-03-01,2019-03-04,bennet,0
Politico/Morning ConsultPolitico,2019-02-25,2019-03-03,bennet,--
Harvard-HarrisHarris,2019-02-19,2019-02-20,bennet,--
Harvard-HarrisHarris,2019-02-19,2019-02-20,bennet,--
